"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Max time (ms)","Last change","Prevent Suspend Time"
"ApmOutput                   ","124","124","0","0","0","0","0","58433402","0"
"PowerManagerService.Display ","1","1","0","0","3","3","3","54509989","0"
"PowerManagerService.WakeLocks","1504","1504","88","0","0","45","1","58187529","0"
"event0                      ","172151","172151","104","0","0","0","0","57726421","0"
"event3                      ","4028","4028","104","0","0","0","0","54509999","0"
"event4                      ","4028","4028","104","0","0","0","0","54509999","0"
"event5                      ","4188","4188","104","0","0","0","0","57150930","0"
"event2                      ","4546","4546","104","0","0","0","0","57492920","0"
"eventpoll                   ","172831","189029","520","0","0","0","0","57726421","0"
"KeyEvents                   ","88541","88541","73","0","0","0","0","58486976","0"
"NETLINK                     ","10728","10728","144","0","0","0","0","58501726","0"
"[timerfd]                   ","670","670","8","0","0","0","0","58470215","0"
"binder                      ","87","87","0","0","0","0","0","58351561","0"
"eventpoll                   ","11449","11489","106","0","0","0","0","58501726","0"
"wlan_wd_wake                ","1","1","0","0","0","0","0","13190","0"
"wlan_scan_wake              ","47","47","0","0","0","0","0","57081392","0"
"wlan_oob_irq_wake           ","1692","1692","30","0","0","0","0","54509521","0"
"wlan_evt_wake               ","1833","1833","0","0","0","0","0","57081392","0"
"wlan_ctrl_wake              ","302","1859","0","302","0","0","0","57081500","0"
"wlan_rx_wake                ","51564","156208","233","51564","0","5","0","58504330","0"
"wlan_wake                   ","105987","105987","625","0","0","0","0","58504036","0"
"7-006a                      ","0","0","0","0","0","0","0","2194","0"
"14110000.fimc_is_sensor     ","0","0","0","0","0","0","0","2170","0"
"14010000.fimc_is_sensor     ","0","0","0","0","0","0","0","2170","0"
"14100000.fimc_is_sensor     ","0","0","0","0","0","0","0","2169","0"
"14000000.fimc_is_sensor     ","0","0","0","0","0","0","0","2169","0"
"gpio_keys                   ","56","56","0","0","0","0","0","57150930","0"
"dwc3-gadget                 ","1","1","0","0","3","3","3","54570181","0"
"arizona-jack-detection      ","0","0","0","0","0","0","0","1901","0"
"13960000.decon_f            ","7","7","0","0","3","34","18","54510001","0"
"meizu-voicewakeup           ","0","0","0","0","0","0","0","1813","0"
"compr-wake-lock             ","0","0","0","0","0","0","0","1699","0"
"tspdrv                      ","309","309","0","0","0","0","0","57492993","0"
"battery                     ","1589","1589","9","0","0","0","0","58501723","0"
"battery_wake                ","1118","1118","12","0","0","0","0","58497125","0"
"Wall                        ","4","4","0","0","0","0","0","54570395","0"
"usb                         ","4","4","0","0","0","0","0","54570395","0"
"charger_wake                ","599","601","0","2","0","0","0","58501735","0"
"alarm                       ","2535","2548","84","0","0","0","0","58491964","0"
"bt_device_wake              ","528","2978","20","528","0","0","0","57725820","0"
"bt_host_wake                ","532","1488","8","532","0","1","0","57725120","0"
"14370000.fimc_is            ","3","3","0","0","0","0","0","5948980","0"
"rtc-sec                     ","297","297","22","297","0","0","0","54769620","0"
"s2m-rtc                     ","298","298","22","0","0","0","0","54769134","0"
"stk_input_wakelock          ","7","8","0","7","0","0","0","54511850","0"
"dwc3-otg                    ","0","0","0","0","0","0","0","1284","0"
"gps_host_wake               ","0","0","0","0","0","0","0","1071","0"
"6-0028                      ","3","82","0","3","0","0","0","46110","0"
"nfc_wake                    ","3","184","0","3","0","0","0","46110","0"
"usb_thermal_wake            ","2","2","0","0","3","17","13","54570207","0"
"dual-role-type_c_port0      ","7","16","0","7","0","0","0","54581510","0"
"tcpc_detach_wakelock        ","1","1","0","1","0","0","0","13898890","0"
"tcpc_attach_wakelock        ","0","0","0","0","0","0","0","1007","0"
"umts_boot0                  ","1","1","0","1","0","0","0","7370","0"
"multipdp                    ","0","0","0","0","0","0","0","1004","0"
"rmnet7                      ","0","0","0","0","0","0","0","1004","0"
"rmnet6                      ","0","0","0","0","0","0","0","1003","0"
"rmnet5                      ","0","0","0","0","0","0","0","1003","0"
"rmnet4                      ","0","0","0","0","0","0","0","1002","0"
"rmnet3                      ","0","0","0","0","0","0","0","1002","0"
"rmnet2                      ","0","0","0","0","0","0","0","1001","0"
"rmnet1                      ","0","0","0","0","0","0","0","1001","0"
"rmnet0                      ","0","0","0","0","0","0","0","1001","0"
"umts_loopback               ","0","0","0","0","0","0","0","1000","0"
"umts_dm0                    ","0","0","0","0","0","0","0","1000","0"
"umts_router                 ","0","0","0","0","0","0","0","1000","0"
"umts_rfs0                   ","4","59","0","4","0","0","0","3632600","0"
"umts_ipc1                   ","2642","17398","8","2641","0","1","0","58506029","0"
"umts_ipc0                   ","15","42","0","15","0","0","0","54510540","0"
"SHMEM_wlock                 ","0","0","0","0","0","0","0","999","0"
"umts_wake_lock              ","1","1","0","0","0","0","0","6488","0"
"alarmtimer                  ","48","48","48","48","0","0","0","54496060","0"
"autosleep                   ","0","0","0","0","0","0","0","230","0"
